Gene ID,Symbol,Region Start,Region End,# Transcripts,# Variants
ENSG00000000457,SCYL3,169849630,169894267,5,274
ENSG00000000460,C1orf112,169662006,169854080,9,1672
ENSG00000000938,FGR,27612063,27635185,7,161
ENSG00000000971,CFH,196651753,196752476,6,661
ENSG00000001460,STPG1,24356998,24416934,12,342
ENSG00000001461,NIPAL3,24415801,24472976,7,382
ENSG00000004455,AK2,33007985,33080996,15,255
ENSG00000004487,KDM1A,23019442,23083689,6,305
ENSG00000006555,TTC22,54779711,54801323,5,243
ENSG00000007341,ST7L,112523513,112620825,28,462
ENSG00000007908,-,169722639,169764705,-,0
ENSG00000007923,DNAJC11,6634167,6701924,11,382
ENSG00000007933,FMO3,171090900,171117819,6,318
ENSG00000007968,E2F2,23506437,23531233,2,234
ENSG00000008118,CAMK1G,209583713,209613939,4,277
ENSG00000008128,CDK11A,1702378,1724357,23,281
ENSG00000008130,NADK,1751231,1780457,17,239
ENSG00000009307,CSDE1,114716912,114758676,18,210
ENSG00000009709,PAX7,18630845,18748866,3,998
ENSG00000009724,MASP2,11022008,11047239,4,165
ENSG00000009780,FAM76A,27725960,27763116,7,231
ENSG00000009790,TRAF3IP3,209756031,209782320,16,268
ENSG00000010072,SPRTN,231337103,231355023,6,121
ENSG00000010165,METTL13,171781659,171814023,7,248
ENSG00000010803,SCMH1,41027201,41242306,17,1010
ENSG00000010932,FMO1,171248470,171285978,8,171
ENSG00000011007,ELOA,23743447,23762059,4,137
ENSG00000011009,LYPLA2,23791144,23795539,10,13
ENSG00000011021,CLCN6,11806095,11848079,8,371
ENSG00000014914,MTMR11,149928650,149936879,10,39
ENSG00000016490,CLCA1,86468367,86500259,2,300
ENSG00000016602,CLCA4,86547077,86580754,2,229
ENSG00000018625,ATP1A2,160115758,160143591,8,260
ENSG00000020129,NCDN,35557472,35567274,6,31
ENSG00000020633,RUNX3,24899510,24965121,5,467
ENSG00000021852,C8B,56929206,56974383,6,349
ENSG00000023572,GLRX2,193090865,193106114,3,69
ENSG00000023902,PLEKHO1,150149182,150164720,9,122
ENSG00000023909,GCLM,93885198,93909456,4,145
ENSG00000024526,DEPDC1,68474151,68497221,5,184
ENSG00000025800,KPNA6,32108055,32176563,4,307
ENSG00000026751,SLAMF7,160739056,160754821,11,160
ENSG00000027644,-,156840062,156859117,-,0
ENSG00000027869,SH2D2A,156806242,156816848,6,69
ENSG00000028137,TNFRSF1B,12166990,12209228,4,292
ENSG00000031698,SARS1,109213917,109238182,6,199
ENSG00000033122,LRRC7,69567921,70151945,13,3657
ENSG00000034971,MYOC,171635416,171652688,2,106
ENSG00000035687,ADSS2,244408493,244451909,3,211
ENSG00000036549,ZZZ3,77562415,77683419,11,481
ENSG00000037637,FBXO42,16246839,16352480,4,683
ENSG00000040487,SLC66A1,19312325,19329300,6,185
ENSG00000041988,THAP3,6624867,6635586,8,86
ENSG00000042781,USH2A,215622890,216423448,4,5172
ENSG00000043514,TRIT1,39838109,39883511,15,304
ENSG00000044012,GUCA2B,42153409,42155820,1,75
ENSG00000047410,TPR,186311651,186375693,9,350
ENSG00000048707,VPS13D,12230029,12512047,14,1449
ENSG00000049089,COL9A2,40300488,40317813,11,200
ENSG00000049239,H6PD,9234773,9271337,3,392
ENSG00000049245,VAMP3,7771295,7781432,3,95
ENSG00000049246,PER3,7784290,7845177,9,514
ENSG00000049247,UTS2,7843082,7853512,3,77
ENSG00000049249,TNFRSF9,7915870,7943165,4,264
ENSG00000050628,PTGER3,70852352,71047816,12,1194
ENSG00000052723,SIKE1,114769478,114780685,10,89
ENSG00000053371,AKR7A2,19303964,19312144,5,103
ENSG00000053372,MRTO4,19251804,19260128,3,90
ENSG00000054116,TRAPPC3,36136569,36156053,10,172
ENSG00000054118,THRAP3,36224431,36305357,4,478
ENSG00000054267,ARID4B,235131633,235328219,13,1048
ENSG00000054277,OPN3,241590101,241677376,7,570
ENSG00000054282,SDCCAG8,243256033,243500091,11,1169
ENSG00000054392,HHAT,210328251,210676296,9,2848
ENSG00000054523,KIF1B,10210569,10381603,13,1246
ENSG00000055070,SZRD1,16352574,16398145,10,289
ENSG00000055732,-,85018081,85048500,-,0
ENSG00000057252,SOAT1,179293713,179358680,4,585
ENSG00000057468,MSH4,75796881,75913242,1,934
ENSG00000057757,PITHD1,23778417,23788232,3,35
ENSG00000058085,LAMC2,183186237,183245127,4,513
ENSG00000058453,CROCC,16740272,16972964,13,2190
ENSG00000058668,ATP2B4,203626831,203744081,7,849
ENSG00000058673,ZC3H11A,203795622,203854999,15,526
ENSG00000058799,YIPF1,53851718,53889798,7,303
ENSG00000058804,NDC1,53765477,53838463,2,437
ENSG00000059588,TARBP1,234391312,234479179,9,828
ENSG00000060642,PIGV,26787053,26800659,6,65
ENSG00000060656,PTPRU,29236515,29326813,11,547
ENSG00000060688,SNRNP40,31259567,31296788,7,338
ENSG00000060718,COL11A1,102876466,103108872,12,2103
ENSG00000064703,DDX20,111754831,111775602,5,71
ENSG00000064886,CHI3L2,111200770,111243440,17,318
ENSG00000065135,GNAI3,109548614,109600195,1,348
ENSG00000065183,WDR3,117929719,117966543,4,184
ENSG00000065243,PKN2,88684221,88836255,6,957
ENSG00000065526,SPEN,15836094,15940456,5,457
ENSG00000065600,PACC1,212363927,212414901,5,305
ENSG00000065978,YBX1,42682417,42703805,4,125
ENSG00000066027,PPP2R5A,212285409,212361853,5,490
ENSG00000066056,TIE1,43300981,43323108,10,152
ENSG00000066135,KDM4A,43650148,43705518,5,310
ENSG00000066136,NFYC,40691647,40771603,24,408
ENSG00000066185,ZMYND12,42430328,42456253,4,199
ENSG00000066279,ASPM,197084120,197146694,3,310
ENSG00000066294,CD84,160541094,160579516,8,62
ENSG00000066322,ELOVL1,43363397,43368074,16,20
ENSG00000066557,LRRC40,70144804,70205579,1,258
ENSG00000067208,EVI5,92508695,92792404,8,1796
ENSG00000067334,DNTTIP2,93866283,93879918,7,169
ENSG00000067533,RRP15,218285292,218337983,2,274
ENSG00000067606,PRKCZ,2050410,2185395,26,1863
ENSG00000067704,IARS2,220094131,220148041,4,287
ENSG00000069248,NUP133,229440258,229508341,4,464
ENSG00000069275,NUCKS1,205712821,205750182,2,299
ENSG00000069424,KCNAB2,5990926,6101193,19,1163
ENSG00000069702,TGFBR3,91680342,91906335,11,1581
ENSG00000069712,-,92166984,92184723,-,0
ENSG00000069812,HES2,6412417,6424670,6,162
ENSG00000070759,TESK2,45343882,45491163,4,732
ENSG00000070785,EIF2B3,44850521,44986722,10,843
ENSG00000070831,CDC42,22052626,22101360,5,323
ENSG00000070886,EPHA8,22563488,22603595,2,560
ENSG00000072694,FCGR2B,161663142,161678654,5,222
ENSG00000073754,CD5L,157830910,157898256,2,477
ENSG00000073756,PTGS2,186671790,186680922,5,108
ENSG00000074800,ENO1,8860999,8879190,6,175
ENSG00000074964,ARHGEF10L,17539697,17697874,9,1217
ENSG00000075151,EIF4G3,20806291,21177285,14,2339
ENSG00000075391,RASAL2,178094103,178484147,5,1708
ENSG00000075945,KIFAP3,169921325,170085208,6,1238
ENSG00000076258,FMO4,171314182,171342084,5,157
ENSG00000076321,KLHL20,173714940,173786692,5,382
ENSG00000076356,PLXNA2,208022241,208244384,6,1573
ENSG00000076864,RAP1GAP,21596220,21669357,13,569
ENSG00000077152,UBE2T,202331543,202341984,3,96
ENSG00000077157,PPP1R12B,202348698,202592706,18,1155
ENSG00000077254,USP33,77695986,77759852,18,335
ENSG00000077522,ACTN2,236664140,236764631,7,773
ENSG00000077549,CAPZB,19338774,19485539,9,1281
ENSG00000077585,GPR137B,236142504,236221865,5,724
ENSG00000078369,GNB1,1785284,1892292,10,649
ENSG00000078618,NRDC,51789190,51878805,14,459
ENSG00000078808,SDF4,1216930,1232031,7,209
ENSG00000078900,TP73,3652515,3736201,14,911
ENSG00000079277,MKNK1,46557406,46616843,28,295
ENSG00000079335,CDC14A,100345000,100520277,6,942
ENSG00000079739,PGM1,63593410,63660245,5,417
ENSG00000080910,-,196943737,196959622,-,0
ENSG00000080947,CROCCP3,16474395,16491307,6,291
ENSG00000081019,RSBN1,113761831,113812476,6,188
ENSG00000081026,MAGI3,113390514,113685923,6,1657
ENSG00000081237,PTPRC,198638456,198757476,14,704
ENSG00000081248,CACNA1S,201039511,201112451,2,561
ENSG00000081277,PKP1,201283451,201332993,5,453
ENSG00000081721,DUSP12,161749757,161757238,5,115
ENSG00000081870,IFT25,53916573,53945699,6,165
ENSG00000081985,IL12RB2,67307363,67398724,6,618
ENSG00000082482,KCNK2,215005774,215237090,9,1635
ENSG00000082497,SERTAD4,210232795,210246631,4,54
ENSG00000082512,TRAF5,211326614,211374946,7,297
ENSG00000083444,PLOD1,11934204,11975538,9,405
ENSG00000084070,SMAP2,40344849,40423326,6,512
ENSG00000084072,PPIE,39692181,39763914,15,442
ENSG00000084073,ZMPSTE24,40258040,40294180,4,178
ENSG00000084623,EIF3I,32221076,32245397,6,36
ENSG00000084628,NKAIN1,31179744,31239887,5,700
ENSG00000084636,COL16A1,31652262,31704319,17,241
ENSG00000084652,TXLNA,32179674,32198285,2,93
ENSG00000085433,WDR47,108970213,109042113,9,473
ENSG00000085465,OVGP1,111414318,111427735,3,157
ENSG00000085491,SLC25A24,108134042,108200849,4,532
ENSG00000085552,IGSF9,159927038,159945613,6,106
ENSG00000085831,TTC39A,51287257,51345116,18,364
ENSG00000085832,EPS15,51354262,51519328,9,1163
ENSG00000085840,ORC1,52372828,52404423,2,128
ENSG00000085998,POMGNT1,46188682,46220305,10,185
ENSG00000085999,RAD54L,46246460,46278480,12,192
ENSG00000086015,MAST2,45786986,46036122,10,1336
ENSG00000086619,ERO1B,236214680,236282019,3,596
ENSG00000088035,ALG6,63367574,63438553,7,463
ENSG00000088280,ASAP3,23428562,23484568,12,354
ENSG00000090020,SLC9A1,27098808,27166981,6,355
ENSG00000090104,RGS1,192575762,192580024,6,95
ENSG00000090273,NUDC,26900237,26946871,4,205
ENSG00000090432,MUL1,20499447,20508151,1,101
ENSG00000090621,PABPC4,39560708,39576790,25,114
ENSG00000090686,USP48,21678297,21783606,15,769
ENSG00000091483,FH,241497510,241519799,3,144
ENSG00000092607,TBX15,118883045,118989556,3,674
ENSG00000092621,PHGDH,119648410,119744218,34,532
ENSG00000092847,AGO1,35869807,35930532,3,276
ENSG00000092850,TEKT2,36084093,36088275,3,20
ENSG00000092853,CLSPN,35720217,35769978,6,212
ENSG00000092969,TGFB2,218345335,218444619,4,561
ENSG00000092978,GPATCH2,217426991,217631090,5,1267
ENSG00000094963,FMO2,171185248,171212686,7,319
ENSG00000094975,SUCO,172532348,172611833,10,458
ENSG00000097021,ACOT7,6264268,6393767,10,1106
ENSG00000097033,SH3GLB1,86704569,86748184,5,224
ENSG00000097046,CDC7,91500850,91525764,5,220
ENSG00000097096,SYDE2,85156888,85201724,2,282
ENSG00000099260,PALMD,99646112,99694541,5,412
ENSG00000107404,DVL1,1335275,1349418,8,133
ENSG00000116128,BCL9,147541500,147626216,3,544
ENSG00000116132,PRRX1,170662727,170739421,8,470
ENSG00000116133,DHCR24,54849626,54887195,3,383
ENSG00000116138,DNAJC16,15526812,15592379,10,486
ENSG00000116141,MARK1,220528135,220664461,5,756
ENSG00000116147,TNR,175315193,175743595,3,2728
ENSG00000116151,MORN1,2321252,2391707,11,782
ENSG00000116157,GPX7,52602370,52609051,2,107
ENSG00000116161,CACYBP,174999162,175012027,9,91
ENSG00000116171,SCP2,52927275,53051698,17,1012
ENSG00000116183,PAPPA2,176463170,176845601,5,1901
ENSG00000116191,RALGPS2,178725164,178921842,9,1041
ENSG00000116194,-,178849534,178871077,-,0
ENSG00000116198,CEP104,3812085,3857396,11,574
ENSG00000116199,FAM20B,179025803,179076567,2,388
ENSG00000116205,TCEANC2,54053583,54112519,4,290
ENSG00000116209,TMEM59,54026680,54053504,9,185
ENSG00000116212,LRRC42,53946084,53968168,5,116
ENSG00000116213,WRAP73,3630766,3652761,10,155
ENSG00000116218,NPHS2,179550538,179575952,2,130
ENSG00000116221,MRPL37,54184040,54225464,6,180
ENSG00000116237,ICMT,6221192,6235972,4,106
ENSG00000116251,RPL22,6185019,6209389,8,166
ENSG00000116254,CHD5,6101786,6180321,6,731
ENSG00000116260,QSOX1,180154868,180204030,4,491
ENSG00000116266,STXBP3,108746673,108809523,7,504
ENSG00000116273,PHF13,6613730,6624030,2,63
ENSG00000116285,ERRFI1,8004403,8026309,5,121
ENSG00000116288,PARK7,7954290,7985505,10,302
ENSG00000116299,ELAPOR1,109113678,109206781,14,683
ENSG00000116329,OPRD1,28812169,28871267,2,500
ENSG00000116337,AMPD2,109616103,109632051,26,58
ENSG00000116350,SRSF4,29147742,29181900,8,200
ENSG00000116353,MECR,29192656,29230942,18,310
ENSG00000116396,KCNC4,110210313,110283100,8,479
ENSG00000116406,EDEM3,184690236,184754907,6,531
ENSG00000116455,WDR77,111439889,111449256,4,28
ENSG00000116459,ATP5PB,111448863,111462773,6,60
ENSG00000116473,RAP1A,111542217,111716691,4,985
ENSG00000116478,HDAC1,32292082,32333635,10,156
ENSG00000116489,CAPZA1,112619804,112671616,6,229
ENSG00000116497,S100PBP,32816766,32858875,16,212
ENSG00000116514,RNF19B,32936444,32964809,3,240
ENSG00000116521,SCAMP3,155255978,155262430,9,29
ENSG00000116525,TRIM62,33145398,33182059,4,274
ENSG00000116539,ASH1L,155335267,155563162,7,923
ENSG00000116544,DLGAP3,34865435,34929650,3,320
ENSG00000116560,SFPQ,35176377,35193446,10,174
ENSG00000116574,RHOU,228735478,228746664,1,145
ENSG00000116580,GON4L,155749658,155859400,19,586
ENSG00000116584,ARHGEF2,155946850,156007070,20,331
ENSG00000116586,LAMTOR2,156054781,156058506,6,11
ENSG00000116604,MEF2D,156463726,156500779,7,244
ENSG00000116641,DOCK7,62454297,62688386,37,1086
ENSG00000116649,SRM,11054583,11060020,6,94
ENSG00000116652,-,63547081,63550636,-,0
ENSG00000116661,FBXO2,11637017,11655785,6,99
ENSG00000116663,FBXO6,11664199,11674354,3,95
ENSG00000116667,C1orf21,184387028,184629019,4,1411
ENSG00000116668,SWT1,185157079,185291781,3,779
ENSG00000116670,MAD2L2,11658917,11691811,9,123
ENSG00000116675,DNAJC6,65248218,65415871,8,983
ENSG00000116678,LEPR,65420651,65641559,8,1256
ENSG00000116679,IVNS1ABP,185296387,185317273,9,105
ENSG00000116685,KIAA2013,11919590,11926428,3,143
ENSG00000116688,MFN2,11980180,12015211,6,304
ENSG00000116690,PRG4,186296278,186314567,6,127
ENSG00000116691,MIIP,12019465,12032045,7,86
ENSG00000116698,SMG7,183472215,183598246,16,577
ENSG00000116701,-,183555561,183590876,-,0
ENSG00000116703,-,186443565,186461114,-,0
ENSG00000116704,SLC35D1,66999349,67054148,1,392
ENSG00000116711,PLA2G4A,186828948,186988981,2,1097
ENSG00000116717,GADD45A,67685200,67688334,5,88
ENSG00000116721,PRAMEF1,12791396,12796628,2,185
ENSG00000116726,PRAMEF12,12773737,12777906,1,93
ENSG00000116729,WLS,68098472,68233120,14,192
ENSG00000116731,PRDM2,13700187,13825079,14,832
ENSG00000116741,RGS2,192809038,192812275,4,65
ENSG00000116745,RPE65,68428821,68449954,1,187
ENSG00000116747,RO60,193059453,193091777,12,155
ENSG00000116748,AMPD1,114673089,114695618,7,158
ENSG00000116750,UCHL5,193012249,193060080,13,224
ENSG00000116752,BCAS2,114567556,114581629,2,153
ENSG00000116754,SRSF11,70205681,70253052,16,205
ENSG00000116761,CTH,70411217,70439851,5,215
ENSG00000116771,-,15571698,15585051,-,-
ENSG00000116774,OLFML3,113979390,114035572,5,335
ENSG00000116783,TNNI3K,74235386,74544428,8,1
ENSG00000116785,CFHR3,196774812,196795407,6,321
ENSG00000116786,PLEKHM2,15684319,15734769,4,383
ENSG00000116791,CRYZ,74705481,74733408,7,244
ENSG00000116793,PHTF1,113696830,113759489,12,314
ENSG00000116809,ZBTB17,15941868,15976132,16,189
ENSG00000116815,CD58,116514533,116571039,5,265
ENSG00000116819,TFAP2E,35573313,35595328,1,119
ENSG00000116824,CD2,116754429,116769229,2,132
ENSG00000116830,TTF2,117060325,117107453,7,245
ENSG00000116833,NR5A2,200027613,200177420,6,1200
ENSG00000116852,KIF21B,200969389,201023714,5,364
ENSG00000116857,TMEM9,201134771,201171574,11,349
ENSG00000116863,ADPRS,36088891,36093932,1,26
ENSG00000116871,MAP7D1,36155578,36180849,13,135
ENSG00000116874,WARS2,119031215,119140654,5,654
ENSG00000116882,HAO2,119368778,119394130,5,251
ENSG00000116885,OSCP1,36415826,36450451,12,322
ENSG00000116898,MRPS15,36455717,36464384,4,90
ENSG00000116903,EXOC8,231332752,231337852,1,70
ENSG00000116906,GNPAT,231241206,231277973,5,184
ENSG00000116918,TSNAX,231528540,231566524,5,217
ENSG00000116922,C1orf109,37681569,37692249,14,146
ENSG00000116954,RRAGC,38838197,38859772,4,181
ENSG00000116962,NID1,235975829,236065109,2,647
ENSG00000116977,LGALS8,236517999,236552981,28,497
ENSG00000116981,NT5C1A,39651228,39672107,1,130
ENSG00000116983,HPCAL4,39678647,39691485,3,162
ENSG00000116984,MTR,236795259,236921278,5,710
ENSG00000116985,BMP8B,39757181,39788865,1,252
ENSG00000116990,MYCL,39895427,39902256,4,90
ENSG00000116991,SIPA1L2,232397964,232630571,6,1238
ENSG00000116996,-,237877863,237890922,-,0
ENSG00000117000,RLF,40161386,40240921,1,552
ENSG00000117009,KMO,241532133,241595642,10,543
ENSG00000117010,ZNF684,40531572,40548167,6,169
ENSG00000117013,KCNQ4,40783786,40840452,4,432
ENSG00000117016,RIMS3,40620679,40665682,2,286
ENSG00000117020,AKT3,243488232,243851079,10,1586
ENSG00000117036,ETV3,157121190,157138474,3,108
ENSG00000117054,ACADM,75724430,75787575,18,493
ENSG00000117069,ST6GALNAC5,76867479,77067546,5,1235
ENSG00000117090,SLAMF1,160608105,160647044,4,306
ENSG00000117091,CD48,160678745,160711831,3,112
ENSG00000117114,ADGRL2,81306146,81993932,22,4930
ENSG00000117115,PADI2,17066760,17119451,4,546
ENSG00000117118,SDHB,17018663,17054032,8,269
ENSG00000117122,MFAP2,16974501,16980632,6,57
ENSG00000117133,RPF1,84479258,84498352,2,195
ENSG00000117139,KDM5B,202724494,202808487,10,585
ENSG00000117143,UAP1,162561721,162601240,7,189
ENSG00000117148,ACTL8,17755332,17827063,2,577
ENSG00000117151,CTBS,84549610,84574480,4,57
ENSG00000117152,RGS4,163068774,163076802,10,107
ENSG00000117153,KLHL12,202891115,202928636,3,245
ENSG00000117154,IGSF21,18107797,18378483,4,2429
ENSG00000117155,SSX2IP,84643705,84690803,10,319
ENSG00000117174,ZNHIT6,85649416,85708433,2,469
ENSG00000117215,PLA2G2D,20111938,20119566,2,137
ENSG00000117222,RBBP5,205086141,205122015,3,226
ENSG00000117226,GBP3,89006678,89022894,11,190
ENSG00000117228,GBP1,89051881,89065360,8,171
ENSG00000117242,PINK1-AS,20642656,20652193,1,4
ENSG00000117245,KIF17,20664013,20718017,9,558
ENSG00000117262,GPR89A,145607987,145670650,13,205
ENSG00000117266,CDK18,205504595,205532793,23,313
ENSG00000117280,RAB29,205767985,205775482,9,124
ENSG00000117281,CD160,145719470,145739288,5,128
ENSG00000117298,ECE1,21217246,21345572,13,929
ENSG00000117305,HMGCL,23801884,23838620,9,206
ENSG00000117308,GALE,23795598,23800781,16,15
ENSG00000117318,ID3,23557925,23559501,3,73
ENSG00000117322,CR2,207453023,207489895,7,248
ENSG00000117335,CD46,207752036,207795513,19,276
ENSG00000117360,PRPF3,150321478,150353233,7,302
ENSG00000117362,APH1A,150265398,150269580,9,17
ENSG00000117385,P3H1,42746334,42767084,14,158
ENSG00000117394,SLC2A1,42925352,42958893,9,339
ENSG00000117395,EBNA1BP2,43164174,43270936,9,800
ENSG00000117399,CDC20,43358980,43363203,4,14
ENSG00000117400,MPL,43337817,43354466,3,81
ENSG00000117407,ARTN,43933319,43937240,11,37
ENSG00000117408,IPO13,43946949,43968022,7,60
ENSG00000117410,ATP6V0B,43974486,43978295,13,21
ENSG00000117411,B4GALT2,43978942,43991170,8,74
ENSG00000117419,ERI3,44221069,44355260,9,601
ENSG00000117425,PTCH2,44819843,44843253,3,138
ENSG00000117448,AKR1A1,45550542,45570049,14,168
ENSG00000117450,PRDX1,45510913,45542732,6,61
ENSG00000117461,PIK3R3,46040139,46133036,7,454
ENSG00000117472,TSPAN1,46175072,46185962,9,38
ENSG00000117475,BLZF1,169367969,169396540,5,146
ENSG00000117477,CCDC181,169394869,169460669,7,353
ENSG00000117479,SLC19A2,169463908,169485944,2,112
ENSG00000117480,FAAH,46394316,46413848,6,245
ENSG00000117481,NSUN4,46340788,46365152,9,369
ENSG00000117500,TMED5,93149741,93180516,5,226
ENSG00000117501,MROH9,170935525,171064765,3,988
ENSG00000117505,DR1,93345906,93369493,3,141
ENSG00000117507,FMO6P,171137739,171161568,5,236
ENSG00000117519,CNN3,94896948,94927223,7,235
ENSG00000117523,PRRC2C,171485529,171593511,12,656
ENSG00000117525,F3,94529172,94541759,4,113
ENSG00000117528,ABCD3,94418388,94518666,6,431
ENSG00000117533,VAMP4,171700159,171742074,4,324
ENSG00000117543,DPH5,100989622,101026088,15,174
ENSG00000117560,FASLG,172659102,172666876,2,91
ENSG00000117569,PTBP2,96721664,96823738,11,687
ENSG00000117586,TNFSF4,173183730,173207331,3,192
ENSG00000117592,PRDX6,173477329,173488815,3,94
ENSG00000117593,DARS2,173824652,173858808,3,156
ENSG00000117594,HSD11B1,209686177,209734949,4,66
ENSG00000117595,IRF6,209785616,209806175,4,135
ENSG00000117597,UTP25,209827971,209857565,2,254
ENSG00000117598,PLPPR5,98890244,99227929,3,844
ENSG00000117600,PLPPR4,99264291,99309590,3,329
ENSG00000117601,SERPINC1,173903799,173917327,4,73
ENSG00000117602,RCAN3,24502350,24541040,11,373
ENSG00000117614,SYF2,25222275,25232502,4,99
ENSG00000117616,RSRP1,25242248,25338213,22,506
ENSG00000117620,SLC35A3,99969350,100035634,24,417
ENSG00000117625,RCOR3,211258376,211316385,16,466
ENSG00000117632,STMN1,25884180,25906991,9,131
ENSG00000117640,MTFR1L,25818639,25832942,23,55
ENSG00000117643,MAN1C1,25616790,25786206,8,1032
ENSG00000117650,NEK2,211658656,211675630,5,129
ENSG00000117676,RPS6KA1,26529760,26575030,20,294
ENSG00000117682,DHDDS,26432281,26471306,25,186
ENSG00000117691,NENF,212432919,212446379,4,170
ENSG00000117697,NSL1,212726152,212791782,6,674
ENSG00000117707,PROX1,213983180,214041510,7,298
ENSG00000117713,ARID1A,26693235,26782104,17,382
ENSG00000117724,CENPF,214603184,214664574,6,502
ENSG00000117748,RPA2,27891523,27914746,5,192
ENSG00000117751,PPP1R8,27830781,27851676,5,157
ENSG00000117758,STX12,27773218,27824443,5,258
ENSG00000117791,MTARC2,220748224,220784815,6,542
ENSG00000117834,SLC5A9,48222684,48248644,10,206
ENSG00000117859,OSBPL9,51577178,51798427,27,916
ENSG00000117862,TXNDC12,52020130,52055191,5,265
ENSG00000118193,KIF14,200551496,200620751,2,528
ENSG00000118194,TNNT2,201359007,201377764,25,216
ENSG00000118197,DDX59,200623895,200669907,8,339
ENSG00000118200,CAMSAP2,200738892,200860704,6,774
ENSG00000118217,ATF6,161766297,161977574,2,1060
ENSG00000118292,C1orf54,150268199,150280916,3,63
ENSG00000118298,CA14,150257250,150265078,5,27
ENSG00000118454,ANKRD13C,70258998,70354734,5,485
ENSG00000118473,SGIP1,66533266,66751139,14,1615
ENSG00000118655,DCLRE1B,113904618,113914086,2,30
ENSG00000118729,CASQ2,115700020,115768884,2,607
ENSG00000118733,OLFM3,101802559,101996926,6,1381
ENSG00000118873,RAB3GAP2,220148292,220272529,10,628
