Gene ID,Symbol,Region Start,Region End,# Transcripts,# Variants
ENSG00000012779,ALOX5,45374175,45446119,8,597
ENSG00000015171,ZMYND11,130087,254637,17,724
ENSG00000026025,VIM,17228240,17237593,10,49
ENSG00000047056,WDR37,1049537,1160991,6,702
ENSG00000048740,CELF2,10798396,11336675,17,4311
ENSG00000057608,GDI2,5765222,5842132,9,627
ENSG00000060339,CCAR1,68721011,68792377,18,452
ENSG00000065328,MCM10,13161557,13211110,7,397
ENSG00000065665,SEC61A2,12129636,12169961,14,341
ENSG00000065675,PRKCQ,6427142,6580301,4,1202
ENSG00000065809,FAM107B,14518556,14774897,29,2284
ENSG00000067057,PFKP,3066332,3137718,12,1378
ENSG00000067064,IDI1,1039151,1049119,5,38
ENSG00000067082,KLF6,3775995,3785281,7,134
ENSG00000070748,CHAT,49609094,49667942,12,447
ENSG00000072401,UBE2D1,58334978,58370751,4,225
ENSG00000072422,RHOBTB1,60869437,61001440,6,856
ENSG00000075407,ZNF37A,38094333,38150293,6,434
ENSG00000077327,SPAG6,22345444,22454224,9,590
ENSG00000077420,APBB1IP,26438340,26567803,3,1051
ENSG00000077943,ITGA8,15513953,15719922,3,1580
ENSG00000078114,NEBL,20779972,21293011,13,2800
ENSG00000078403,MLLT10,21524645,21743630,17,1040
ENSG00000086475,SEPHS1,13317427,13348298,6,325
ENSG00000095739,BAMBI,28677509,28682932,2,93
ENSG00000095777,MYO3A,25934228,26212532,6,2202
ENSG00000095787,WAC,28532492,28623112,21,492
ENSG00000095794,CREM,35126790,35212958,48,536
ENSG00000096717,SIRT1,67884655,67918390,6,333
ENSG00000096746,HNRNPH3,68331173,68343193,11,66
ENSG00000099246,RAB18,27504173,27543207,9,256
ENSG00000099250,NRP1,33177491,33336262,14,1171
ENSG00000099251,HSD17B7P2,38356454,38378107,2,126
ENSG00000099256,PRTFDC1,24848613,24952606,3,847
ENSG00000099290,WASHC2A,50067887,50133509,9,611
ENSG00000107485,GATA3,8045377,8075198,4,175
ENSG00000107537,PHYH,13277795,13302412,7,323
ENSG00000107551,RASSF4,44959406,44995891,12,188
ENSG00000107562,CXCL12,44370164,44386493,8,235
ENSG00000107611,CUBN,16823965,17129811,4,2459
ENSG00000107614,TRDMT1,17137335,17202054,12,539
ENSG00000107643,MAPK8,48306638,48439360,16,753
ENSG00000107863,ARHGAP21,24583608,24723887,20,779
ENSG00000107890,ANKRD26,26973792,27100494,6,860
ENSG00000107897,ACBD5,27168134,27243046,8,532
ENSG00000107929,LARP4B,806932,931821,12,881
ENSG00000107937,GTPBP4,988433,1019932,5,339
ENSG00000107951,MTPAP,30309800,30374448,5,483
ENSG00000107959,PITRM1,3137727,3172841,11,277
ENSG00000107968,MAP3K8,30434020,30461833,7,187
ENSG00000107984,DKK1,52314280,52318042,4,19
ENSG00000108021,TASOR2,5684730,5763779,13,640
ENSG00000108064,TFAM,58385344,58399220,4,140
ENSG00000108091,CCDC6,59788746,59906556,3,922
ENSG00000108094,CUL2,35008503,35127006,10,534
ENSG00000108100,CCNY,35247024,35572669,10,1943
ENSG00000108176,DNAJC12,67796668,67838188,5,262
ENSG00000108187,PBLD,68282659,68333049,7,427
ENSG00000120539,MASTL,27154823,27187953,4,255
ENSG00000120549,KIAA1217,23694745,24547848,17,5966
ENSG00000120555,SEPTIN7P9,38391982,38399730,3,213
ENSG00000120563,LYZL1,29289060,29318328,2,443
ENSG00000120594,PLXDC2,19816238,20289856,3,3921
ENSG00000120616,EPC1,32267750,32378798,10,767
ENSG00000122870,BICC1,58512871,58831435,3,1937
ENSG00000122872,-,60684504,60685209,-,-
ENSG00000122873,CISD1,58269161,58289586,4,129
ENSG00000122877,EGR2,62811995,62819167,6,740
ENSG00000122912,SLC25A16,68477997,68527523,7,477
ENSG00000122952,ZWINT,56357226,56361273,9,84
ENSG00000123240,OPTN,13099448,13138308,12,309
ENSG00000123243,ITIH5,7559269,7666998,9,1301
ENSG00000128805,ARHGAP22,48446035,48656265,15,1511
ENSG00000128815,WDFY4,48684872,48982956,6,2135
ENSG00000134452,FBH1,5890202,5937594,16,383
ENSG00000134453,RBM17,6089033,6117457,12,350
ENSG00000134460,IL2RA,6010688,6062370,4,591
ENSG00000134461,ANKRD16,5861615,5889906,4,347
ENSG00000134463,ECHDC3,11742365,11764070,5,312
ENSG00000134470,IL15RA,5943638,5978187,22,269
ENSG00000136738,STAM,17644150,17716824,5,591
ENSG00000136750,GAD2,26216664,26304558,4,649
ENSG00000136754,ABI1,26746592,26861087,13,846
ENSG00000136758,YME1L1,27110110,27155266,9,462
ENSG00000136770,DNAJC1,21756547,22003769,5,1233
ENSG00000138311,ZNF365,62374191,62480288,11,2201
ENSG00000138336,TET1,68560336,68694487,1,1009
ENSG00000138346,DNA2,68414063,68472121,8,506
ENSG00000138347,MYPN,68087896,68212017,5,948
ENSG00000148377,IDI2,1018909,1025859,1,44
ENSG00000148426,PROSER2,11823338,11872277,5,570
ENSG00000148429,USP6NL,11460509,11611666,6,1039
ENSG00000148444,COMMD3,22316385,22320306,15,82
ENSG00000148450,MSRB2,23095578,23122013,3,231
ENSG00000148459,PDSS1,26697700,26746798,4,395
ENSG00000148468,FAM171A1,15211642,15371289,3,1365
ENSG00000148481,MINDY3,15778169,15860507,6,544
ENSG00000148482,SLC39A12,17951838,18043292,4,1027
ENSG00000148483,TMEM236,17752200,17800868,1,495
ENSG00000148484,RSU1,16590610,16817463,5,2013
ENSG00000148488,ST8SIA6,17315420,17454595,2,1374
