Transcript ID,Region Start,Region End,# Variants
ENST00000000233,127588410,127591700,101
ENST00000000233,127588410,127591700,101
ENST00000003084,117480024,117668665,1095
ENST00000003084,117480024,117668665,1095
ENST00000003100,92112152,92134477,212
ENST00000003100,92112152,92134477,212
ENST00000004103,150800768,150805118,159
ENST00000004103,150800768,150805118,159
ENST00000005178,95583498,95596516,198
ENST00000005178,95583498,95596516,198
ENST00000005180,75769537,75772211,183
ENST00000005180,75769537,75772211,183
ENST00000005257,39623571,39708120,609
ENST00000005257,39623571,39708120,609
ENST00000005259,107580245,107620478,433
ENST00000005259,107580245,107620478,433
ENST00000005260,98291649,98401090,1225
ENST00000005260,98291649,98401090,1225
ENST00000005374,30496622,30504841,160
ENST00000005374,30496622,30504841,160
ENST00000005558,112423143,112475527,570
ENST00000005558,112423143,112475527,570
ENST00000006015,27181156,27185232,105
ENST00000006015,27181156,27185232,105
ENST00000006777,75879033,75888926,153
ENST00000006777,75879033,75888926,153
ENST00000009041,38178244,38230669,472
ENST00000009041,38178244,38230669,472
ENST00000011292,130380493,130388108,163
ENST00000011292,130380493,130388108,163
ENST00000011473,106090504,106112576,212
ENST00000011473,106090504,106112576,212
ENST00000013222,30752134,30757602,148
ENST00000013222,30752134,30757602,148
ENST00000035307,151232482,151238822,108
ENST00000035307,151232482,151238822,108
ENST00000046087,49937440,50093246,1189
ENST00000046087,49937440,50093246,1189
ENST00000055077,74231501,74254399,281
ENST00000055077,74231501,74254399,281
ENST00000056217,144355401,144380632,234
ENST00000056217,144355401,144380632,234
ENST00000056233,26152197,26187137,409
ENST00000056233,26152197,26187137,409
ENST00000072869,140672944,140695110,197
ENST00000072869,140672944,140695110,197
ENST00000160373,117710650,117873441,1185
ENST00000160373,117710650,117873441,1185
ENST00000160382,100643096,100656448,165
ENST00000160382,100643096,100656448,165
ENST00000175506,97852117,97872542,246
ENST00000175506,97852117,97872542,246
ENST00000181839,39950255,40099580,1422
ENST00000181839,39950255,40099580,1422
ENST00000194130,123113530,123199969,576
ENST00000194130,123113530,123199969,576
ENST00000198536,100373486,100400096,237
ENST00000198536,100373486,100400096,237
ENST00000199389,6022246,6059175,571
ENST00000199447,37848596,37900397,1055
ENST00000199447,37848596,37900397,1055
ENST00000199448,37920639,37951936,438
ENST00000199448,37920639,37951936,438
ENST00000200457,100867386,100873454,127
ENST00000200457,100867386,100873454,127
ENST00000205386,108023547,108130355,772
ENST00000205386,108023547,108130355,772
ENST00000205402,107891182,107921198,248
ENST00000205402,107891182,107921198,248
ENST00000222381,95297675,95324532,329
ENST00000222381,95297675,95324532,329
ENST00000222382,99828115,99866001,286
ENST00000222382,99828115,99866001,286
ENST00000222388,151207836,151227166,232
ENST00000222388,151207836,151227166,232
ENST00000222390,81699009,81770047,528
ENST00000222390,81699009,81770047,528
ENST00000222399,107923798,108003161,663
ENST00000222399,107923798,108003161,663
ENST00000222402,43926435,43956136,315
ENST00000222402,43926435,43956136,315
ENST00000222462,121328999,121341104,170
ENST00000222462,121328999,121341104,170
ENST00000222481,130266862,130289798,259
ENST00000222481,130266862,130289798,259
ENST00000222482,130293160,130324180,348
ENST00000222482,130293160,130324180,348
ENST00000222511,90346715,90391453,528
ENST00000222511,90346715,90391453,528
ENST00000222543,93885395,93890753,133
ENST00000222543,93885395,93890753,133
ENST00000222547,93993244,94004355,126
ENST00000222547,93993244,94004355,126
ENST00000222553,106248297,106284983,328
ENST00000222553,106248297,106284983,328
ENST00000222567,19695460,19709037,183
ENST00000222567,19695460,19709037,183
ENST00000222572,95404861,95435028,300
ENST00000222572,95404861,95435028,300
ENST00000222573,20330899,20415754,770
ENST00000222573,20330899,20415754,770
ENST00000222574,107169002,107202522,309
ENST00000222574,107169002,107202522,309
ENST00000222584,21428082,21514822,1028
