Transcript ID,Region Start,Region End,# Variants
ENST00000005340,7225341,7234517,125
ENST00000005340,7225341,7234517,125
ENST00000006658,50547173,50555852,142
ENST00000006658,50547173,50555852,142
ENST00000006750,63928739,63932331,91
ENST00000006750,63928739,63932331,91
ENST00000007414,47807371,47821794,208
ENST00000007414,47807371,47821794,208
ENST00000007699,7288262,7294639,138
ENST00000007699,7288262,7294639,138
ENST00000007708,50094736,50111058,192
ENST00000007708,50094736,50111058,192
ENST00000007722,50056439,50089729,427
ENST00000007722,50056439,50089729,427
ENST00000007735,41346091,41350828,83
ENST00000007735,41346091,41350828,83
ENST00000013034,51153664,51161898,179
ENST00000013034,51153664,51161898,179
ENST00000017003,50346125,50361185,323
ENST00000017003,50346125,50361185,323
ENST00000046640,3636759,3663103,564
ENST00000053867,44345301,44353106,122
ENST00000053867,44345301,44353106,122
ENST00000066544,47117702,47189295,697
ENST00000066544,47117702,47189295,697
ENST00000083182,60443157,60526242,611
ENST00000083182,60443157,60526242,611
ENST00000156626,76624762,76643757,341
ENST00000156626,76624762,76643757,341
ENST00000158009,35121614,35130732,150
ENST00000158009,35121614,35130732,150
ENST00000158166,3865156,3893044,533
ENST00000158762,7336528,7351477,153
ENST00000158762,7336528,7351477,153
ENST00000158771,5471253,5486178,174
ENST00000158771,5471253,5486178,174
ENST00000167462,75525725,75575208,815
ENST00000167462,75525725,75575208,815
ENST00000167586,41582278,41586895,127
ENST00000167586,41582278,41586895,127
ENST00000167588,40875888,40885242,141
ENST00000167588,40875888,40885242,141
ENST00000172229,49495292,49515008,232
ENST00000172229,49495292,49515008,232
ENST00000173229,9021509,9244000,2543
ENST00000173229,9021509,9244000,2543
ENST00000174618,2384072,2401060,243
ENST00000176643,19648750,19677596,299
ENST00000176643,19648750,19677596,299
ENST00000177694,47733235,47746122,205
ENST00000177694,47733235,47746122,205
ENST00000184956,60041007,60078921,275
ENST00000184956,60041007,60078921,275
ENST00000200181,75721458,75757818,353
ENST00000200181,75721458,75757818,353
ENST00000200557,44758987,44781846,250
ENST00000200557,44758987,44781846,250
ENST00000205948,66212032,66229415,366
ENST00000205948,66212032,66229415,366
ENST00000206020,4959225,4967817,148
ENST00000206380,44011187,44014963,107
ENST00000206380,44011187,44014963,107
ENST00000207549,75827224,75844404,254
ENST00000207549,75827224,75844404,254
ENST00000209718,40922699,40937646,277
ENST00000209718,40922699,40937646,277
ENST00000209728,40287878,40304657,152
ENST00000209728,40287878,40304657,152
ENST00000225275,58269854,58280935,111
ENST00000225275,58269854,58280935,111
ENST00000225276,76565376,76585860,431
ENST00000225276,76565376,76585860,431
ENST00000225296,5440916,5468982,283
ENST00000225296,5440916,5468982,283
ENST00000225298,51260545,51297933,420
ENST00000225298,51260545,51297933,420
ENST00000225308,44319624,44324870,151
ENST00000225308,44319624,44324870,151
ENST00000225328,3673226,3696155,617
ENST00000225371,58192725,58205174,169
ENST00000225371,58192725,58205174,169
ENST00000225387,29246858,29254494,99
ENST00000225387,29246858,29254494,99
ENST00000225388,29255838,29294148,397
ENST00000225388,29255838,29294148,397
ENST00000225394,29573474,29589648,145
ENST00000225394,29573474,29589648,145
ENST00000225430,39200282,39204732,107
ENST00000225430,39200282,39204732,107
ENST00000225441,44308595,44317870,145
ENST00000225441,44308595,44317870,145
ENST00000225474,40015443,40017813,122
ENST00000225474,40015443,40017813,122
ENST00000225504,58345177,58352201,132
ENST00000225504,58345177,58352201,132
ENST00000225512,46762505,46818692,494
ENST00000225512,46762505,46818692,494
ENST00000225519,3608239,3636250,482
ENST00000225525,3662894,3668578,186
ENST00000225538,3896591,3916465,330
ENST00000225550,41420546,41424585,111
ENST00000225550,41420546,41424585,111
ENST00000225567,46923119,46941143,193
ENST00000225567,46923119,46941143,193
ENST00000225573,47941566,47948272,117
ENST00000225573,47941566,47948272,117
ENST00000225576,15502263,15563544,706
ENST00000225576,15502263,15563544,706
ENST00000225577,59893120,59950574,483
ENST00000225577,59893120,59950574,483
ENST00000225587,15675475,15675643,79
ENST00000225587,15675475,15675643,79
ENST00000225603,48070058,48101478,470
ENST00000225603,48070058,48101478,470
ENST00000225609,16217209,16326411,1092
ENST00000225609,16217209,16326411,1092
ENST00000225614,75751593,75765236,167
ENST00000225614,75751593,75765236,167
ENST00000225648,48595750,48604986,141
ENST00000225648,48595750,48604986,141
ENST00000225655,4945651,4948530,90
ENST00000225665,4937129,4940046,86
ENST00000225688,17494436,17496395,93
ENST00000225688,17494436,17496395,93
ENST00000225696,5384783,5419854,577
ENST00000225698,5432776,5439155,154
ENST00000225698,5432776,5439155,154
ENST00000225719,30378926,30469989,570
ENST00000225719,30378926,30469989,570
ENST00000225724,30477361,30527592,370
ENST00000225724,30477361,30527592,370
ENST00000225726,63745254,63773597,403
ENST00000225726,63745254,63773597,403
ENST00000225728,6643310,6651605,164
ENST00000225728,6643310,6651605,164
ENST00000225729,18087947,18107969,275
ENST00000225729,18087947,18107969,275
ENST00000225737,19904301,19977828,828
ENST00000225737,19904301,19977828,828
ENST00000225740,19737988,19748298,190
ENST00000225740,19737988,19748298,190
ENST00000225742,63832603,63842466,117
ENST00000225742,63832603,63842466,117
ENST00000225760,63998454,64004285,91
ENST00000225760,63998454,64004285,91
ENST00000225777,78168580,78172720,186
ENST00000225777,78168580,78172720,186
ENST00000225792,64498253,64506289,134
ENST00000225792,64498253,64506289,134
ENST00000225823,33013086,33293295,2272
ENST00000225823,33013086,33293295,2272
ENST00000225831,34255284,34257203,53
ENST00000225831,34255284,34257203,53
ENST00000225842,34360327,34363233,128
ENST00000225842,34360327,34363233,128
ENST00000225844,34356479,34358610,107
ENST00000225844,34356479,34358610,107
ENST00000225873,35574794,35578571,240
ENST00000225873,35574794,35578571,240
ENST00000225899,41459512,41467386,196
ENST00000225899,41459512,41467386,196
ENST00000225916,42113110,42121367,154
ENST00000225916,42113110,42121367,154
ENST00000225927,42536240,42544449,130
ENST00000225927,42536240,42544449,130
ENST00000225929,42552933,42555213,97
ENST00000225929,42552933,42555213,97
ENST00000225941,49210706,49223225,171
ENST00000225941,49210706,49223225,171
ENST00000225964,50184100,50201631,225
ENST00000225964,50184100,50201631,225
ENST00000225969,50367866,50373184,117
ENST00000225969,50367866,50373184,117
ENST00000225972,50381237,50397523,194
ENST00000225972,50381237,50397523,194
ENST00000225983,44076745,44123638,378
ENST00000225983,44076745,44123638,378
ENST00000225992,43940803,43942476,83
ENST00000225992,43940803,43942476,83
ENST00000226004,43766124,43778977,168
ENST00000226004,43766124,43778977,168
ENST00000226021,67044553,67056797,144
ENST00000226021,67044553,67056797,144
ENST00000226067,55264959,55325187,474
ENST00000226067,55264959,55325187,474
ENST00000226091,7705201,7711372,115
ENST00000226091,7705201,7711372,115
ENST00000226094,68535112,68558390,315
ENST00000226094,68535112,68558390,315
ENST00000226105,8288669,8290087,99
ENST00000226105,8288669,8290087,99
ENST00000226193,9896319,9905271,235
ENST00000226193,9896319,9905271,235
ENST00000226207,10492306,10518542,204
ENST00000226207,10492306,10518542,204
ENST00000226218,28367283,28370307,88
ENST00000226218,28367283,28370307,88
ENST00000226225,28335760,28347009,116
ENST00000226225,28335760,28347009,116
ENST00000226230,28319199,28328685,98
ENST00000226230,28319199,28328685,98
ENST00000226247,28523940,28538896,197
ENST00000226247,28523940,28538896,197
ENST00000226253,28573119,28576895,42
ENST00000226253,28573119,28576895,42
ENST00000239144,48612345,48615292,143
ENST00000239144,48612345,48615292,143
ENST00000239151,48591256,48593779,95
ENST00000239151,48591256,48593779,95
ENST00000239165,48607231,48611017,116
ENST00000239165,48607231,48611017,116
ENST00000239174,48528525,48531011,107
ENST00000239174,48528525,48531011,107
ENST00000240304,50719602,50752709,435
ENST00000240304,50719602,50752709,435
ENST00000240306,49969189,49974959,110
ENST00000240306,49969189,49974959,110
ENST00000240316,56938198,56961050,241
ENST00000240316,56938198,56961050,241
ENST00000240328,61399842,61409466,228
ENST00000240328,61399842,61409466,228
ENST00000240333,49700942,49707964,100
ENST00000240333,49700942,49707964,100
ENST00000240335,61456445,61484303,233
ENST00000240335,61456445,61484303,233
ENST00000240361,58556679,58692023,1210
ENST00000240361,58556679,58692023,1210
ENST00000240364,49710331,49764131,317
ENST00000240364,49710331,49764131,317
ENST00000243457,70169531,70180044,164
ENST00000243457,70169531,70180044,164
ENST00000245382,44142021,44162476,193
ENST00000245382,44142021,44162476,193
ENST00000245479,72121019,72126416,110
ENST00000245479,72121019,72126416,110
ENST00000245503,10521147,10549658,265
ENST00000245503,10521147,10549658,265
ENST00000245539,75261878,75266376,147
ENST00000245539,75261878,75266376,147
ENST00000245543,75109968,75130272,289
ENST00000245543,75109968,75130272,289
ENST00000245544,75205678,75235758,457
ENST00000245544,75205678,75235758,457
ENST00000245551,75266232,75271173,132
ENST00000245551,75266232,75271173,132
ENST00000245552,75130227,75131742,90
ENST00000245552,75130227,75131742,90
ENST00000245857,38850080,38853428,134
ENST00000245857,38850080,38853428,134
ENST00000245865,63702834,63741761,402
ENST00000245865,63702834,63741761,402
ENST00000246635,41500980,41505612,114
ENST00000246635,41500980,41505612,114
ENST00000246639,41476709,41481151,129
ENST00000246639,41476709,41481151,129
ENST00000246646,41436153,41440983,152
ENST00000246646,41436153,41440983,152
ENST00000246657,40553768,40565472,137
ENST00000246657,40553768,40565472,137
ENST00000246662,41565835,41572059,111
ENST00000246662,41565835,41572059,111
ENST00000246672,40092792,40100589,118
ENST00000246672,40092792,40100589,118
