Transcript ID,Region Start,Region End,# Variants
ENST00000000442,64305523,64316743,182
ENST00000000442,64305523,64316743,182
ENST00000003302,113797873,113875570,598
ENST00000003302,113797873,113875570,598
ENST00000005082,3358993,3379116,277
ENST00000005226,17493899,17544416,448
ENST00000005226,17493899,17544416,448
ENST00000005286,60924480,60937159,154
ENST00000005286,60924480,60937159,154
ENST00000016913,60492777,60507430,327
ENST00000016913,60492777,60507430,327
ENST00000020926,45240301,45286341,495
ENST00000020926,45240301,45286341,495
ENST00000039989,43358919,43494931,934
ENST00000039989,43358919,43494931,934
ENST00000054950,32091073,32105722,171
ENST00000054950,32091073,32105722,171
ENST00000064778,73400486,73598189,1592
ENST00000064778,73400486,73598189,1592
ENST00000064780,73376398,73397474,229
ENST00000064780,73376398,73397474,229
ENST00000155840,2445007,2849105,3837
ENST00000164133,64924688,64934475,142
ENST00000164133,64924688,64934475,142
ENST00000164139,64746397,64759974,135
ENST00000164139,64746397,64759974,135
ENST00000168712,69771021,69775341,198
ENST00000168712,69771021,69775341,198
ENST00000176183,637268,640706,284
ENST00000176195,626308,627181,170
ENST00000182290,2302012,2318204,369
ENST00000198801,75717837,75732953,221
ENST00000198801,75717837,75732953,221
ENST00000200135,113733186,113773692,366
ENST00000200135,113733186,113773692,366
ENST00000227135,124673903,124697518,163
ENST00000227135,124673903,124697518,163
ENST00000227155,44565662,44620358,545
ENST00000227155,44565662,44620358,545
ENST00000227157,18394585,18408218,268
ENST00000227157,18394585,18408218,268
ENST00000227163,47354912,47378391,367
ENST00000227163,47354912,47378391,367
ENST00000227214,73647548,73662819,260
ENST00000227214,73647548,73662819,260
ENST00000227251,111908628,111912010,63
ENST00000227251,111908628,111912010,63
ENST00000227266,88293591,88337736,454
ENST00000227266,88293591,88337736,454
ENST00000227322,116773798,116788023,173
ENST00000227322,116773798,116788023,173
ENST00000227348,122838499,122872643,450
ENST00000227348,122838499,122872643,450
ENST00000227349,122882758,122963862,735
ENST00000227349,122882758,122963862,735
ENST00000227378,123057496,123061332,165
ENST00000227378,123057496,123061332,165
ENST00000227451,59172131,59208588,300
ENST00000227451,59172131,59208588,300
ENST00000227471,67991099,68004097,254
ENST00000227471,67991099,68004097,254
ENST00000227474,125893484,125903206,208
ENST00000227474,125893484,125903206,208
ENST00000227495,126355659,126414604,578
ENST00000227495,126355659,126414604,578
ENST00000227503,64764605,64778747,155
ENST00000227503,64764605,64778747,155
ENST00000227507,69641155,69654474,169
ENST00000227507,69641155,69654474,169
ENST00000227520,60842112,60851081,157
ENST00000227520,60842112,60851081,157
ENST00000227524,60890546,60906585,153
ENST00000227524,60890546,60906585,153
ENST00000227525,60914157,60923443,113
ENST00000227525,60914157,60923443,113
ENST00000227618,72109586,72112695,80
ENST00000227618,72109586,72112695,80
ENST00000227638,94128840,94181968,462
ENST00000227638,94128840,94181968,462
ENST00000227665,116789366,116791879,76
